farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,failure_classification
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,53772,52335,1437,1005,121,1.0,,0.0445,36,False,0,False,2.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_CHAMPION,care_2d,54358,52063,2295,2014,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_CHAMPION,care_2d,53036,51888,1148,1005,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_CHAMPION,care_2d,54082,52065,2017,1009,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_CHAMPION,care_2d,54042,52313,1729,1009,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,0.csv,0,turb_0,anomaly_event,,RAI_CHAMPION,care_2d,54986,52148,2838,2012,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_CHAMPION,care_2d,53702,52261,1441,1009,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,40.csv,40,turb_40,anomaly_event,,RAI_CHAMPION,care_2d,56158,51219,4939,4508,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_CHAMPION,care_2d,53886,52303,1583,1007,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_CHAMPION,care_2d,53592,52323,1269,981,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,45.csv,45,turb_45,anomaly_event,,RAI_CHAMPION,care_2d,53739,52299,1440,1008,0,1.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_CHAMPION,care_2d,53772,52335,1437,1005,0,1.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_CHAMPION,care_common,54358,52063,2295,2014,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_CHAMPION,care_common,53036,51888,1148,1005,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_CHAMPION,care_common,54082,52065,2017,1009,37,0.0,,0.0,27,False,1442,False,-7.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_CHAMPION,care_common,54042,52313,1729,1009,137,0.3726,,0.0152,22,False,1333,True,-6.26,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_CHAMPION,care_common,53702,52261,1441,1009,6,0.0291,,0.0001,0,False,996,True,-6.92,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_CHAMPION,care_common,53886,52303,1583,1007,75,0.2691,,0.0516,6,False,528,True,-3.67,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_CHAMPION,care_common,53592,52323,1269,981,70,0.2341,,0.0802,0,False,143,False,1.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_CHAMPION,care_common,53772,52335,1437,1005,74,1.0,,0.011,38,False,101,False,1.3,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_CHAMPION,care_native_semantic,54358,52063,2295,2014,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_CHAMPION,care_native_semantic,53036,51888,1148,1005,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_CHAMPION,care_native_semantic,54082,52065,2017,1009,37,0.0,,0.0,27,False,1442,False,-7.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_CHAMPION,care_native_semantic,54042,52313,1729,1009,137,0.3726,,0.0152,22,False,1333,True,-6.26,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_CHAMPION,care_native_semantic,53702,52261,1441,1009,6,0.0291,,0.0001,0,False,996,True,-6.92,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_CHAMPION,care_native_semantic,53886,52303,1583,1007,75,0.2691,,0.0516,6,False,528,True,-3.67,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_CHAMPION,care_native_semantic,53592,52323,1269,981,70,0.2341,,0.0802,0,False,143,False,1.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_CHAMPION,care_native_semantic,53772,52335,1437,1005,74,1.0,,0.011,38,False,101,False,1.3,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,CARE_PAPER_IF,care_2d,56564,52531,4033,3169,238,0.1198,,0.0321,3,False,0,True,0.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,7.csv,7,turb_7,anomaly_event,,CARE_PAPER_IF,care_2d,57888,52559,5329,4465,116,0.0659,,0.013,5,False,109,False,0.24,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,53.csv,53,turb_53,anomaly_event,,CARE_PAPER_IF,care_2d,58607,52559,6048,6048,1390,0.5926,,0.2267,43,False,40,True,-0.28,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,27.csv,27,turb_27,anomaly_event,,CARE_PAPER_IF,care_2d,62268,52331,9937,8785,670,0.2912,,0.0912,7,False,1170,True,-6.12,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,CARE_PAPER_IF,care_2d,56274,52529,3745,2881,318,0.3667,,0.0977,7,False,0,False,1.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,77.csv,77,turb_77,anomaly_event,,CARE_PAPER_IF,care_2d,61776,52559,9217,8641,462,0.2324,,0.0547,5,False,771,True,-2.35,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,CARE_PAPER_IF,care_common,56564,52531,4033,3169,104,0.0414,,0.008,19,False,12,True,-0.08,not detected under the official CARE event criterion (max criticality < 72)
